job_id,generation,timestamp,source_url,http_status,page_status,job_title,screen_decision,matched_terms,excluded_terms,african_language,other_language,market_named,city_named,country_of_city,notes
7626378781549414709,lifeattiktok,20260720154906,https://lifeattiktok.com/search/7626378781549414709,200,detail,"SEA Product Marketing Manager, Brand Ads",drop,,,,,,,,
7626592103511001397,lifeattiktok,20260515011725,https://lifeattiktok.com/search/7626592103511001397,200,detail,Product Strategist Project Intern (TikTok-Product-Business Analytics) - 2026 Start (BS/MS),drop,,,,,,,,
7626895406677707061,lifeattiktok,20260515023454,https://lifeattiktok.com/search/7626895406677707061,200,detail,Creator&Partner Strategy Project Intern (TikTok Shop - Operation) - 2026 Start (BS/MS),drop,,,,,,,,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20260515023454id_/https://lif"
7626898982108039477,lifeattiktok,20260515013823,https://lifeattiktok.com/search/7626898982108039477,200,detail,"Backend Software Engineer - TikTok, Social Foundation",drop,,,,,,,,
7627060308124830005,lifeattiktok,20260515012827,https://lifeattiktok.com/search/7627060308124830005,200,detail,"Product Marketing & Operations Manager, Creative - METAP - Arabic Speaking",drop,,,,arabic,,,,
7627084698107824437,lifeattiktok,20260515012117,https://lifeattiktok.com/search/7627084698107824437,200,detail,Creator Manager (Lead Generation) - TikTok LIVE,drop,,,,,,,,
7627269344636864821,lifeattiktok,20260506084636,https://lifeattiktok.com/search/7627269344636864821,200,detail,Creator Growth Strategist - TikTok LIVE,drop,,,,,,,,
7628304546007320837,lifeattiktok,20260515013256,https://lifeattiktok.com/search/7628304546007320837,200,detail,Machine Learning Engineer - TikTok-Data-Search-Search Quality,drop,,,,,,,,
7628352960953207045,lifeattiktok,20260515021454,https://lifeattiktok.com/search/7628352960953207045,200,detail,Talent Acquisition Project Intern (E-Commerce) - 2026 Summer (BS/MS),drop,,,,,,,,
7628548754983733557,lifeattiktok,20260511101228,https://lifeattiktok.com/search/7628548754983733557?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7628874607467809029,lifeattiktok,20260506084636,https://lifeattiktok.com/search/7628874607467809029,200,detail,Back End Engineer - Video and Edge,drop,,,,,,,,
7628994830705871157,lifeattiktok,20260902100349,https://lifeattiktok.com/search/7628994830705871157?utm_source=Simplify,200,detail,Product Manager Project Intern (Brand Effectiveness - Monetization Product) - 2026 Start (BS/MS),drop,,,,,,,,
7629187524074342709,lifeattiktok,20260609053817,https://lifeattiktok.com/search/7629187524074342709,200,detail,Research Scientist Intern– E-commerce Recommendation(LLM Applications) - Global Frontier Tech Recruitment Program - 2027 Start (PhD),drop,,,,,,,,
7629446562023819525,lifeattiktok,20260710212811,https://lifeattiktok.com/search/7629446562023819525,200,detail,Implementation Support Specialist - Advertisement Team (Portuguese Speaker) - (Third Party Associate),drop,,,,portuguese,,,,
7629500062003218741,lifeattiktok,20260425073228,https://lifeattiktok.com/search/7629500062003218741?utm_source=Simplify,200,detail,"Software Engineer Project Intern (Recommendation Infrastructure, TikTok Video Social) - 2026 Start (BS/MS)",drop,,,,,,,,
7629632305942432053,lifeattiktok,20260902100932,https://lifeattiktok.com/search/7629632305942432053?utm_source=Simplify,200,detail,Backend Software Engineer - Innovative Growth,drop,,,,,,,,
7629781193366554933,lifeattiktok,20260609061423,https://lifeattiktok.com/search/7629781193366554933?spread=G1DWUPV,200,detail,"Senior Partnerships Manager, Entertainment - TikTok Operations (Los Angeles)",drop,,,,,,Los Angeles,United States,
7630766859083925813,lifeattiktok,20260506084631,https://lifeattiktok.com/search/7630766859083925813?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7630767896739154229,lifeattiktok,20260710212808,https://lifeattiktok.com/search/7630767896739154229,200,detail,Data Analyst Project Intern (TikTok Shop - EMEA Data Science) - 2026 Start (BS/MS）,drop,,,,,EMEA,,,
7631062649025857797,lifeattiktok,20260609063449,https://lifeattiktok.com/search/7631062649025857797,200,detail,Applied Scientist Intern - Monetization GenAI - Global Frontier Tech Recruitment Program - 2027 Start (PhD),drop,,,,,,,,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20260609063449id_/https://lif"
7631070962359912757,lifeattiktok,20260506084636,https://lifeattiktok.com/search/7631070962359912757,200,detail,"Client Solutions Manager, Commerce - AUNZ",drop,,,,,,,,
7631277919231625525,lifeattiktok,20260902100333,https://lifeattiktok.com/search/7631277919231625525?utm_source=Simplify,200,detail,Data Product Manager Project Intern (Monetization) - 2026 Start (BS/MS),drop,,,,,,,,
