platform,job_id,source_url,capture_date,job_title,employer,location_raw,primary_city,primary_country,region_group,multi_location,evidence_level,screen_decision,matched_terms,african_language,other_language,market_named,notes
TikTok,7418743595858381082,https://lifeattiktok.com/search/7418743595858381082,2024-11-26,Content Designer - Trust & Safety,TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7421843328280676659,https://lifeattiktok.com/search/7421843328280676659,2025-04-06,"Content Moderator, Emerging Product - Korea",TikTok,,,,,no,title_only,include,content moderat*; moderat*,,,Korea,page_status=detail
TikTok,7423117358526957834,https://lifeattiktok.com/search/7423117358526957834,2026-04-21,Advertising Policy Manager | Americas,TikTok,,,,,no,title_only,include,policy manager,,,,page_status=detail
TikTok,7424419013541890330,https://lifeattiktok.com/search/7424419013541890330?utm_campaign=elon-musk-unveils-autonomous-vehicles-and-robot&utm_medium=referral&utm_source=www.aiplanetx.com,2025-08-08,Software Engineer (Tech Lead) - Governance Platform,TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7425659087376910630,https://lifeattiktok.com/search/7425659087376910630?utm_source=Trust+and+Safety+Jobs,2025-05-20,"Senior Policy Specialist, TikTok LIVE Monetization Policy",TikTok,,,,,no,title_only,include,policy specialist,,,,page_status=detail
TikTok,7425671164964014374,https://lifeattiktok.com/search/7425671164964014374,2025-04-02,"Public Policy Manager, GBS Lead",TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7425671250430871834,https://lifeattiktok.com/search/7425671250430871834,2025-04-02,"Public Policy Manager, GBS Lead",TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7425672084066142474,https://lifeattiktok.com/search/7425672084066142474,2025-04-02,"Public Policy Manager, GBS Lead",TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7425672680563657010,https://lifeattiktok.com/search/7425672680563657010?spread=5MWH5CQ,2024-12-08,"Public Policy Manager, GBS Lead",TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7425672757042268442,https://lifeattiktok.com/search/7425672757042268442?spread=XKM9ZXE,2025-04-27,"Public Policy Manager, GBS Lead",TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7426132764489451814,https://lifeattiktok.com/search/7426132764489451814,2024-12-18,"Head of Emergency Response, Trust & Safety - USDS",TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7426669595388496154,https://lifeattiktok.com/search/7426669595388496154,2025-11-17,"Advertising Policy Manager, Policy Solutions",TikTok,,,,,no,title_only,include,policy manager,,,,page_status=detail
TikTok,7429806216672643365,https://lifeattiktok.com/search/7429806216672643365,2024-11-25,"Reporting & Insights Lead, Global Safety & Support- Trust & Safety- Los Angeles",TikTok,Los Angeles,Los Angeles,United States,Hub,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7431176803966519603,https://lifeattiktok.com/search/7431176803966519603?spread=5MWH5CQ&utm_source=Trust+and+Safety+Jobs,2025-04-24,"Platform Integrity, Product Policy, and Compliance",TikTok,,,,,no,title_only,include,integrity,,,,page_status=detail
TikTok,7432364683186997541,https://lifeattiktok.com/search/7432364683186997541,2024-11-15,Search Operations Quality Assurance - Trust and Safety - Austin,TikTok,Austin,Austin,United States,Hub,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7433854332501526838,https://lifeattiktok.com/search/7433854332501526838,2024-11-19,TikTok Shop - Governance Operational Risk Analyst,TikTok,,,,,no,title_only,include,risk analyst; governance,,,,page_status=detail
TikTok,7436709806934608135,https://lifeattiktok.com/search/7436709806934608135,2025-04-03,"TikTok Shop - Listing Governance Program Manager, Governance & Experience, EMEA",TikTok,,,,,no,title_only,include,governance,,,EMEA,page_status=detail
TikTok,7437416148804733202,https://lifeattiktok.com/search/7437416148804733202,2025-01-18,"Monetization Integrity, PMO",TikTok,,,,,no,title_only,include,integrity,,,,page_status=detail
TikTok,7439625026339293458,https://lifeattiktok.com/search/7439625026339293458,2025-01-18,"Product / Program Manager, Scaled and Platform Abuse, Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety; abuse,,,,page_status=detail
TikTok,7441789894541986056,https://lifeattiktok.com/search/7441789894541986056,2025-04-08,Global E-commerce Specialist- Spanish - Trust and Safety -Austin,TikTok,Austin,Austin,United States,Hub,no,title_only,include,trust and safety,,spanish,,page_status=detail
TikTok,7443891104946473224,https://lifeattiktok.com/search/7443891104946473224,2024-12-10,Content Quality Assurance - Austin,TikTok,Austin,Austin,United States,Hub,no,title_only,include,content quality,,,,page_status=detail
TikTok,7445019935787944200,https://lifeattiktok.com/search/7445019935787944200,2024-12-17,Senior Product Designer - Trust & Safety,TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7447220866721630482,https://lifeattiktok.com/search/7447220866721630482,2024-12-17,Search Operations Quality Analyst - Trust & Safety - Austin,TikTok,Austin,Austin,United States,Hub,no,title_only,include,trust & safety; quality analyst,,,,page_status=detail
TikTok,7447222467029190920,https://lifeattiktok.com/search/7447222467029190920?spread=5MWH5CQ&utm_source=Trust+and+Safety+Jobs,2025-04-24,Search Operations Quality Analyst (Spanish) - Trust & Safety - Austin,TikTok,Austin,Austin,United States,Hub,no,title_only,include,trust & safety; quality analyst,,spanish,,page_status=detail
TikTok,7447511086280050951,https://lifeattiktok.com/search/7447511086280050951,2025-07-11,"Environmental, Social, and Governance (ESG) & Climate Strategist",TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7448885304906664210,https://lifeattiktok.com/search/7448885304906664210,2025-04-08,PMO Intern - Monetization Integrity - 2025 start,TikTok,,,,,no,title_only,include,integrity,,,,page_status=detail
TikTok,7450436539387218184,https://lifeattiktok.com/search/7450436539387218184?utm_source=Trust+and+Safety+Jobs,2025-05-20,"Senior Software Development Engineer-Data Insights-Trust and Safety, TikTok-Singapore",TikTok,Singapore,Singapore,Singapore,Hub,no,title_only,include,trust and safety,,,Singapore,page_status=detail
TikTok,7454065763520432392,https://lifeattiktok.com/search/7454065763520432392,2025-09-08,"Backend Software Engineer (Data Insights) , Trust and Safety Platform",TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7460056375336438034,https://lifeattiktok.com/search/7460056375336438034,2025-08-14,"e-Commerce Platform Integrity, Product Policy, and Compliance",TikTok,,,,,no,title_only,include,integrity,,,,page_status=detail
TikTok,7460246235066124551,https://lifeattiktok.com/search/7460246235066124551?spread=5MWH5CQ&utm_source=Trust+and+Safety+Jobs,2025-04-24,Policy Training Development Specialist - Trust and Safety,TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7461813202695768327,https://lifeattiktok.com/search/7461813202695768327,2026-07-26,"Machine Learning Engineer Graduate, Trust and Safety Engineering - 2026 Start",TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7461813875965610258,https://lifeattiktok.com/search/7461813875965610258?utm_source=Trust+and+Safety+Jobs,2025-05-20,"PhD Graduate Machine Learning Engineer Graduate, Trust and Safety Engineering - 2026 Start",TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7461940666911688968,https://lifeattiktok.com/search/7461940666911688968,2025-04-05,"TikTok Shop - Senior Business Intelligence Analyst, Governance & Experience, EMEA",TikTok,,,,,no,title_only,include,governance,,,EMEA,page_status=detail
TikTok,7463053576266418450,https://lifeattiktok.com/search/7463053576266418450?utm_source=Trust+and+Safety+Jobs,2025-05-20,Quality Analyst - German Speaker - Short Video ; Trust and Safety,TikTok,,,,,no,title_only,include,trust and safety; quality analyst,,german,,page_status=detail
TikTok,7463306488632756487,https://lifeattiktok.com/search/7463306488632756487,2025-03-07,"Product Manager - TikTok Content Recommendation, Creator Governance",TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7464481070504806664,https://lifeattiktok.com/search/7464481070504806664?utm_source=Trust+and+Safety+Jobs,2025-05-20,"Business Analyst (Analysis & Performance), Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7466015690841360658,https://lifeattiktok.com/search/7466015690841360658,2025-08-01,"TikTok Shop - Program Manager, E-Commerce Compliance, Governance & Experience, EMEA",TikTok,,,,,no,title_only,include,governance,,,EMEA,page_status=detail
TikTok,7467388046025312519,https://lifeattiktok.com/search/7467388046025312519,2025-08-21,Commercial Product Risk Analyst Intern - 2025 Start,TikTok,,,,,no,title_only,include,risk analyst,,,,page_status=detail
TikTok,7467396057833081096,https://lifeattiktok.com/search/7467396057833081096,2025-08-21,Commercial Product Policy Manager Intern - 2025 Start,TikTok,,,,,no,title_only,include,policy manager,,,,page_status=detail
TikTok,7468075498552330503,https://lifeattiktok.com/search/7468075498552330503?utm_source=MIT+Sloan+Career+Development+Office+job+board&utm_medium=getro.com&gh_src=MIT+Sloan+Career+Development+Office+job+board,2025-03-20,"Senior Product Manager, Content Classification - Trust & Safety - San Jose",TikTok,San Jose,San Jose,United States,Hub,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7468593661355280648,https://lifeattiktok.com/search/7468593661355280648?utm_source=MIT+Sloan+Career+Development+Office+job+board&utm_medium=getro.com&gh_src=MIT+Sloan+Career+Development+Office+job+board,2025-03-20,"Program Manager, Indonesia & Malaysia, Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety,,,Indonesia; Malaysia,page_status=detail
TikTok,7468769208353491218,https://lifeattiktok.com/search/7468769208353491218?spread=5MWH5CQ,2026-03-15,Threat Disruption Analyst - Trust & Safety - New York,TikTok,New York,New York,United States,Hub,no,title_only,include,trust & safety,,,,page_status=detail
TikTok,7468807874878966023,https://lifeattiktok.com/search/7468807874878966023,2025-08-14,"Software Engineer, Inference Optimization - Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7469616691187255559,https://lifeattiktok.com/search/7469616691187255559,2025-08-14,"TikTok LIVE - Global Customer Service Quality Analyst, Chinese Speaking",TikTok,,,,,no,title_only,include,quality analyst,,chinese,,page_status=detail
